Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 19/10/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
NAYAX,NYAX,1175116,IL0011751166,0.15959,4300,1315.00,1291.0000,No,326983944,20.72,20.00,326692568.00,65338513.60,1,875,10/10/2021
ALTSHU FUND PEN,ASPF,1159037,IL0011590374,0.15486,3339,1739.00,1702.0000,No,192015051,28.32,25.00,191773293.00,47943323.25,1,926,10/10/2021
MALAM TEAM,MLTM,156018,IL0001560189,0.14931,2297,10490.00,10760.0000,No,21895230,30.00,35.00,21895230.00,7663330.50,1,707,10/10/2021
PLASSON INDUS,PLSN,1081603,IL0010816036,0.13966,2148,22500.00,22900.0000,No,9547955,30.85,35.00,9547955.00,3341784.25,1,675,10/10/2021
RETAILORS,RTLS,1175488,IL0011754889,0.13677,3682,7600.00,7670.0000,No,48442922,22.50,20.00,48442922.00,9688584.40,1,836,10/10/2021
ELLOMAY,ELLO,1082635,IL0010826357,0.13635,1223,9529.00,9785.0000,No,12839427,48.62,60.00,12839427.00,7703656.20,1,611,10/10/2021
IES,IES,431015,IL0004310152,0.12644,1513,27490.00,27180.0000,No,5502908,39.57,45.00,5502908.00,2476308.60,1,592,10/10/2021
GENCELL,GNCL,1169689,IL0011696890,0.11653,1047,1093.00,1160.0000,No,95796381,54.49,60.00,95668147.00,57400888.20,1,606,10/10/2021
APOLLO POWER,APLP,1082114,IL0010821143,0.11572,1385,3536.00,3495.0000,No,39162873,43.25,45.00,39154393.00,17619476.85,1,592,10/10/2021
NAPHTHA,NFTA,643015,IL0006430156,0.11282,1735,1843.00,1909.0000,No,94166944,32.74,35.00,94166944.00,32958430.40,1,589,10/10/2021
LAND DEV,ILDC,612010,IL0006120104,0.11231,1344,4021.00,4039.0000,No,33418265,40.86,45.00,33418265.00,15038219.25,1,552,10/10/2021
AUGWIND,AUGN,1105907,IL0011059073,0.10722,962,4800.00,4909.0000,No,20042939,57.84,60.00,20042939.00,12025763.40,1,569,10/10/2021
CARASSO MOTORS,CRSM,1123850,IL0011238503,0.10583,1628,1781.00,1800.0000,No,91404923,30.21,35.00,91404923.00,31991723.05,1,497,10/10/2021
NOFAR ENERGY,NOFR,1170877,IL0011708778,0.10344,2228,8600.00,8660.0000,No,25902950,27.02,25.00,25902950.00,6475737.50,1,606,10/10/2021
KERUR,KRUR,621011,IL0006210111,0.09626,1152,9157.00,9399.0000,No,12577534,37.51,45.00,12577534.00,5659890.30,1,443,10/10/2021
AQUARIUS EN,AQUA,1170240,IL0011702409,0.09422,1128,3926.00,3912.0000,No,28738724,39.26,45.00,28713799.00,12921209.55,1,441,10/10/2021
DANYA CEBUS,DNYA,1173137,IL0011731374,0.07882,2122,6815.00,6863.0000,No,31134457,20.07,20.00,31134457.00,6226891.40,1,429,10/10/2021
LEVINSTEIN PROP,LVPR,1119080,IL0011190803,0.07378,1135,7880.00,7913.0000,No,14401750,30.18,35.00,14401750.00,5040612.50,1,344,10/10/2021
ISRAEL SHIPYARD,ISHI,1168533,IL0011685331,0.07085,1907,7629.00,7642.0000,No,25000000,20.00,20.00,25000000.00,5000000.00,1,382,10/10/2021
DIPLOMAT HOLDI.,DIPL,1173491,IL0011734915,0.05749,1548,5952.00,5912.0000,No,26000000,22.80,20.00,26000000.00,5200000.00,1,350,10/10/2021
DELTA BRANDS,DLTI,1173699,IL0011736993,0.05539,1491,5964.00,5949.0000,No,25000000,20.00,20.00,25000000.00,5000000.00,1,297,10/10/2021
TERMINAL X,TRX,1178714,IL0011787145,0.02536,1707,1387.00,1419.0000,No,123036014,20.00,20.00,123036014.00,24607202.80,0.4,349,10/10/2021
TERA LIGHT,TRLT,1180173,IL0011801730,0.02351,647,889.00,871.4000,No,72728441,29.78,45.00,63271931.00,28472368.95,0.5,189,19/09/2021
